id,title,category,affiliation,requiredCopies,subtitle,rank,metadataStatus,sourceCard
069917060360b1ea,BWL Special Rules,special,Batman Who Laughs,1,,,auto,CARD_032__P004__R02__C02.jpg
293c5fbdd43a828b,Dark Multiverse Corruption,affiliation,Batman Who Laughs,3,,,auto,CARD_001__P001__R01__C01.jpg
30c63e0651a7fb98,I'm You,affiliation,Batman Who Laughs,3,,,auto,CARD_018__P002__R03__C03.jpg
46f29079692b69d1,A World That Shouldn't Exist,affiliation,Batman Who Laughs,2,,,auto,CARD_026__P003__R03__C02.jpg
5aca35bc86e0df19,Big Cosmic Joke,affiliation,Batman Who Laughs,2,,,auto,CARD_024__P003__R02__C03.jpg
68cd0162ed5c7ab4,Crow,affiliation,Batman Who Laughs,3,,,auto,CARD_012__P002__R01__C03.jpg
7d72335bc7e86de3,My Sons... Kill!,affiliation,Batman Who Laughs,4,,,auto,CARD_008__P001__R03__C02.jpg
8601090f535e122e,Sleeper Agents,affiliation,Batman Who Laughs,3,,,auto,CARD_021__P003__R01__C03.jpg
a2265c794e68a937,Whispered Words,affiliation,Batman Who Laughs,4,,,auto,CARD_004__P001__R02__C01.jpg
d8a06d9e34eaf268,Take a Good Look,affiliation,Batman Who Laughs,3,,,auto,CARD_033__P004__R03__C01.jpg
dbefc7cee6f6ce78,You Don't Trust Anything,affiliation,Batman Who Laughs,2,,,auto,CARD_030__P004__R01__C03.jpg
fbd7f5735c1c7334,Something Twisted and Wrong,affiliation,Batman Who Laughs,3,,,auto,CARD_015__P002__R02__C03.jpg
fe103905baf3123f,Light's Fault,affiliation,Batman Who Laughs,2,,,auto,CARD_028__P004__R01__C01.jpg
040868a63b104395,Sewer's Nige Tm Aare Kuler Croc,character,,3,,,needs-character-rank,CARD_073__P009__R01__C01.jpg
06adc4188f4b3a62,Pain And Money Siack Mask,character,,2,,,needs-character-rank,CARD_055__P007__R01__C01.jpg
072894d154c15e85,Yours To Command Wie,character,,1,Ubu,,needs-character-rank,CARD_060__P007__R02__C03.jpg
099ef66b372c44f7,Swustice Two-Face Bel,character,,1,,,needs-character-rank,CARD_012__P002__R01__C03.jpg
0b917148d6794bd9,Cold As Death,character,,1,Gentleman Ghost,,needs-character-rank,CARD_093__P011__R01__C03.jpg
0ce63a4483aa933c,A City In Fear Sug,character,,1,,,needs-character-rank,CARD_020__P003__R01__C02.jpg
0d04729eb8003071,Sdivertion Tactic Queue I,character,,2,,,needs-character-rank,CARD_015__P002__R02__C03.jpg
160e4d031588ab88,Strict Controlumace,character,,1,Kobra Hybrid,,needs-character-rank,CARD_097__P011__R03__C01.jpg
178c7747c4631c73,Moth Signal Kitten Moth Seco Ce I,character,,1,Killer Moth,,needs-character-rank,CARD_090__P010__R03__C03.jpg
1bdc8c76d5424d2b,Born On A Monday,character,,1,Solomon Grundy,,needs-character-rank,CARD_079__P009__R03__C01.jpg
1e1c0f99ac00338d,Master's Duel Unrsime Aa,character,,1,Lady Shiva,,needs-character-rank,CARD_004__P001__R02__C01.jpg
1e8e44d64102ce0e,Riddles Everywhere Ninoier,character,,2,Riddler,,needs-character-rank,CARD_013__P002__R02__C01.jpg
1f4ffa1a67358e9c,Sspiceit A Little Ecco,character,,1,Spice,,needs-character-rank,CARD_058__P007__R02__C01.jpg
258ea03ed343b505,This Ends Tonight,character,,1,Arkham Knight,,needs-character-rank,CARD_019__P003__R01__C01.jpg
2f5cf73e78c158bd,Cold As Ice,character,,1,Killer Frost,,needs-character-rank,CARD_051__P006__R02__C03.jpg
316ce0c494925cd6,Searching For Nora We.,character,,1,Mr. Freeze,,needs-character-rank,CARD_050__P006__R02__C02.jpg
317750cf1318a90c,Query And Echoueave,character,,1,,,needs-character-rank,CARD_017__P002__R03__C02.jpg
33373ba066f4b44c,A Me,character,,1,Frank the Plant,,needs-character-rank,CARD_007__P001__R03__C01.jpg
33737a5d93f682c6,Netmaster,character,,1,Oracle,,needs-character-rank,CARD_009__P001__R03__C03.jpg
343ec081261ae2f3,Mortal Wound,character,,3,Cheshire,,needs-character-rank,CARD_047__P006__R01__C02.jpg
3a866023ffc58e1e,Hally Marks Wetor Sig,character,,1,Zsasz,,needs-character-rank,CARD_080__P009__R03__C02.jpg
3d0833bb0745bbb8,Best Served Cold Wna Fs 2 Ug,character,,2,Mrs. Freeze,,needs-character-rank,CARD_067__P008__R02__C01.jpg
40fe3cf623d1be1c,The Evidence Mounts Batman (Robert Pattinson) I,character,,1,Batman,,needs-character-rank,CARD_086__P010__R02__C02.jpg
41323cf0191d6ac1,Acat Has Its Needs Ervouu,character,,1,Catwoman,,needs-character-rank,CARD_011__P002__R01__C02.jpg
4442e0f427642db8,Sauce And Pickles,character,,1,Condiment King,,needs-character-rank,CARD_095__P011__R02__C02.jpg
462b077b8642a6e7,One Million Dollar Shot,character,,1,Deadshot,,needs-character-rank,CARD_041__P005__R02__C02.jpg
47b5ab3e6b741893,Co Se Ea Seen Ear Cla See Ie,character,,1,Bane,,needs-character-rank,CARD_028__P004__R01__C01.jpg
4dad8a87a00f8e01,Bssistance,character,,2,Robin,,needs-character-rank,CARD_062__P007__R03__C02.jpg
4ed993d8065be38f,Katakiuchi,character,,1,Katana,,needs-character-rank,CARD_008__P001__R03__C02.jpg
4f802f4a3b9c3184,Time Master,character,,1,Clock King,,needs-character-rank,CARD_092__P011__R01__C02.jpg
5576ed606011eee9,Vengeance's Mission Pane'scauctrer El,character,,1,Vengeance,,needs-character-rank,CARD_072__P008__R03__C03.jpg
57a686beead04790,Emancipation,character,,1,Harley Quinn,,needs-character-rank,CARD_029__P004__R01__C02.jpg
5de2d607dab3e9c2,Join The Fold,character,,1,Young Woman,,needs-character-rank,CARD_084__P010__R01__C03.jpg
5e206b9e664b8034,Corrupted The Batman Who Laughs,character,,3,,,needs-character-rank,CARD_033__P004__R02__C03.jpg
5f471985c17cc27d,Plots Behind Plots Uncotn Arch Te!,character,,1,,,needs-character-rank,CARD_024__P003__R02__C03.jpg
60a507114b25c923,"Nv House, My Rules",character,,1,the Penguin,,needs-character-rank,CARD_021__P003__R01__C03.jpg
60f85166ab3d2061,Great Ae Ann M ) I,character,,1,,,needs-character-rank,CARD_061__P007__R03__C01.jpg
61068b4c3ab74974,Back To Arkham,character,,1,Batman,,needs-character-rank,CARD_043__P005__R03__C01.jpg
6185818331d9bbee,Justice Served Eucwene,character,,1,Peacemaker,,needs-character-rank,CARD_066__P008__R01__C03.jpg
61ae708b38bd8c7f,Escape Plan,character,,1,Calvin Rose,,needs-character-rank,CARD_027__P003__R03__C03.jpg
63d1efb8bc90197a,Me Court's Edict,character,,1,The Court,,needs-character-rank,CARD_025__P003__R03__C01.jpg
661f0329ec923808,Trick Shot,character,,2,Green Arrow,,needs-character-rank,CARD_064__P008__R01__C01.jpg
671afb62d9ef5d34,Bhowtim El Soker Be,character,,1,,,needs-character-rank,CARD_039__P005__R01__C03.jpg
6e6ea4770c514d85,Street Transaction Tooseurse,character,,1,Loose Lips,,needs-character-rank,CARD_023__P003__R02__C02.jpg
6fd70ac840b38d01,Daughter Of The Demon Rasa.S4 1O),character,,1,Talia,,needs-character-rank,CARD_045__P005__R03__C03.jpg
72186d759267440a,Not So Much Sugar Sucar E,character,,1,,,needs-character-rank,CARD_057__P007__R01__C03.jpg
7440dfcf22127759,He Best Act Cuavrace Cei,character,,2,Clayface,,needs-character-rank,CARD_076__P009__R02__C01.jpg
75752611b7c1e9d9,Endless Greed,character,,1,Emperor Penguin,,needs-character-rank,CARD_022__P003__R02__C01.jpg
759d78dcc6044c76,Cover Your Ears,character,,1,Black Canary,,needs-character-rank,CARD_030__P004__R01__C03.jpg
76e86ae958780228,Bigger Picture. Rie Rinnter (Paul Dano) Te! J,character,,2,,,needs-character-rank,CARD_069__P008__R02__C03.jpg
7937f0044caa12d1,Wiother Of Strays,character,,1,Catwoman,,needs-character-rank,CARD_087__P010__R02__C03.jpg
7c5aa2fea5637138,Galen Dar Crimes,character,,1,Calendar Man,,needs-character-rank,CARD_094__P011__R02__C01.jpg
8edaa66392f2cec6,Fhedon Cimnesuones,character,,1,,,needs-character-rank,CARD_052__P006__R03__C01.jpg
912164f536d0133d,Joker-O-Meter,character,,1,Harley Quinn,,needs-character-rank,CARD_040__P005__R02__C01.jpg
914281f9a8aecebc,Reinforce Ai E Rt:,character,,1,Bird,,needs-character-rank,CARD_001__P001__R01__C01.jpg
929813b152c7e553,Lord Of The Pits,character,,1,Ra's Al Ghul,,needs-character-rank,CARD_003__P001__R01__C03.jpg
930bc1a8159b079a,Deathmatch,character,,1,Deathstroke,,needs-character-rank,CARD_010__P002__R01__C01.jpg
9591f5a207e6058d,Apex Predator Ruesaruanuno.Ausis,character,,3,,,needs-character-rank,CARD_036__P004__R03__C03.jpg
9b0ffd0127ff660a,Echo And Query Exo,character,,1,,,needs-character-rank,CARD_018__P002__R03__C03.jpg
9e234f5f4ddd261f,Beeking Revenge Sason Tooo,character,,1,,,needs-character-rank,CARD_005__P001__R02__C02.jpg
9ffe349299ca71e6,Uncontrolled Brutality Maron! Es 3,character,,1,,,needs-character-rank,CARD_053__P006__R03__C02.jpg
a2e79887c89771b3,He Mission,character,,1,William Cobb,,needs-character-rank,CARD_026__P003__R03__C02.jpg
a63e2ba75d8f84fc,Gotham Is Mine Pie,character,,1,Bane,,needs-character-rank,CARD_032__P004__R02__C02.jpg
ab5db034c2952b82,Master Of Manipulation Wsie 5,character,,1,Hush,,needs-character-rank,CARD_059__P007__R02__C02.jpg
ad66b7e9f537f42c,Freelance Assassinewme,character,,1,,,needs-character-rank,CARD_071__P008__R03__C02.jpg
b147f5ea62ebae5a,The Unworthy. Saxceaner E,character,,1,,,needs-character-rank,CARD_085__P010__R02__C01.jpg
b791d448b10b37f6,The True Boss,character,,1,The Ventriloquist,,needs-character-rank,CARD_054__P006__R03__C03.jpg
c20d217f4d503181,Secure The Drop Sue Pencun Cco. Rare,character,,1,,,needs-character-rank,CARD_088__P010__R03__C01.jpg
c2494d0708de8e6f,One Good Cop,character,,1,James W. Gordon,,needs-character-rank,CARD_044__P005__R03__C02.jpg
cbb161a52945baba,KObra Viral Bomb Serrrey Rrankun Auae Be! 3,character,,1,Kobra,,needs-character-rank,CARD_096__P011__R02__C03.jpg
cf66db1b8d61b810,Hpeduction,character,,1,Hugo Strange,,needs-character-rank,CARD_101__P012__R01__C02.jpg
dc42e41be8248067,Cover Up Canwine Falcone (John Turturro),character,,1,,,needs-character-rank,CARD_089__P010__R03__C02.jpg
de3d2705d3598240,New Compound Unoartimawie,character,,2,,,needs-character-rank,CARD_099__P011__R03__C03.jpg
e051648ac2be6b58,"Wrong Place, Kid",character,,1,Sgt. Harvey Bullock,,needs-character-rank,CARD_042__P005__R02__C03.jpg
e166f4a9885d9c7d,Overwhelming Charisma Xre-Un,character,,1,Kite-Man,,needs-character-rank,CARD_091__P011__R01__C01.jpg
e2a207b7c0fe838f,Ym The Surgeon Sarman Crank Miter) St J,character,,1,Batman,,needs-character-rank,CARD_002__P001__R01__C02.jpg
e9b6dcde865c3d3c,State Of Fear Scarecrow I Age,character,,1,,,needs-character-rank,CARD_098__P011__R03__C02.jpg
eda541c017c437e4,Primary Instincts Wuxair,character,,1,Man-Bat,,needs-character-rank,CARD_078__P009__R02__C03.jpg
f367dde2270584dd,Segrowth,character,,1,Poison Ivy,,needs-character-rank,CARD_006__P001__R02__C03.jpg
f6edb7f71dd81451,This Is The Evil Oeacow Etackrine Ef,character,,3,,,needs-character-rank,CARD_081__P009__R03__C03.jpg
f878208b118c7af7,Vendetta,character,,1,Huntress,,needs-character-rank,CARD_031__P004__R02__C01.jpg
fc1af8d5a411e6f6,My Life For The League Ney,character,,1,The Heretic,,needs-character-rank,CARD_046__P006__R01__C01.jpg
0265431eff60d5b9,Court Of Owls Card 011,affiliation,Court Of Owls,3,,,ocr-review,CARD_011__P002__R01__C02.jpg
05dbee4c93805c9b,Terrible Accident,affiliation,Court Of Owls,3,,,auto,CARD_008__P001__R03__C02.jpg
6185653d9043bf64,Court of Owls Special Rules,special,Court Of Owls,1,,,auto,CARD_036__P004__R03__C03.jpg
69be911c1c734443,"Nota Mo We ,",affiliation,Court Of Owls,3,,,auto,CARD_029__P004__R01__C02.jpg
6c3201245d5b9ce5,Beware The Court Of Owls J,affiliation,Court Of Owls,3,,,auto,CARD_032__P004__R02__C02.jpg
793a504e68fc00e0,BWLsnight Jaa,affiliation,Court Of Owls,2,,,auto,CARD_020__P003__R01__C02.jpg
7a621de471d93ace,The Court's Secure Bases,affiliation,Court Of Owls,3,,,auto,CARD_001__P001__R01__C01.jpg
ae24e8e89f01655e,Owl Markers,special,Court Of Owls,1,,,auto,CARD_035__P004__R03__C02.jpg
b4bfc61d1bfb4fe9,The Owls' Labyrinth,affiliation,Court Of Owls,2,,,auto,CARD_022__P003__R02__C01.jpg
b663b7b1844be4ca,Talon's Claw :,affiliation,Court Of Owls,4,,,auto,CARD_004__P001__R02__C01.jpg
d2818125b381b7ee,Stalking Parliament :,affiliation,Court Of Owls,3,,,auto,CARD_026__P003__R03__C02.jpg
d3c5ac143ae50a5c,Gotham Is Ours,affiliation,Court Of Owls,2,,,auto,CARD_018__P002__R03__C03.jpg
eef67d8a9fe3950c,The Shadow Claw,affiliation,Court Of Owls,4,,,auto,CARD_014__P002__R02__C02.jpg
f6e3805ac8b3ace9,The Primary.Peey,affiliation,Court Of Owls,2,,,auto,CARD_024__P003__R02__C03.jpg
0d04c0418cb029cf,Bull Devotion,affiliation,Cults,2,,,auto,CARD_010__P002__R01__C01.jpg
1a5e7f7da5705e03,A Godless City,affiliation,Cults,3,,,auto,CARD_034__P004__R03__C01.jpg
1a686b117b6e61b3,The Inner Enemy,affiliation,Cults,2,,,auto,CARD_027__P003__R03__C03.jpg
1be3f8d5c8c6fcd4,Cults Special Rules,special,Cults,1,,,auto,CARD_047__P006__R01__C02.jpg
1f64586b079f7db2,Protge,affiliation,Cults,3,,,auto,CARD_015__P002__R02__C03.jpg
28d3d4a12cce0ce4,Eternal Life Dj,affiliation,Cults,3,,,auto,CARD_031__P004__R02__C01.jpg
40c327ae9bc4120c,Followers Of Kall-Yuga J,affiliation,Cults,3,,,auto,CARD_024__P003__R02__C03.jpg
4bdadc8d58d24aeb,Cults Card 043,affiliation,Cults,3,,,ocr-review,CARD_043__P005__R03__C01.jpg
